case_name,degradation_mode,T1_K,P1_Pa,T2_K,P2_Pa,T3_K,P3_Pa,T4_K,P4_Pa,w_compressor_kJ_kg,w_turbine_kJ_kg,w_net_kJ_kg,fuel_air_ratio,fuel_flow_kg_s,mdot_air_kg_s,mdot_gas_kg_s,power_compressor_MW,power_turbine_MW,gross_power_MW,net_power_MW,heat_input_MW,thermal_efficiency,heat_rate_kJ_kWh,exhaust_temperature_K,exhaust_energy_MW,specific_power_kW_per_kgps,converged,status
baseline,clean,  2.88150000E+02,  1.00311750E+05,  6.79442372E+02,  1.50467625E+06,  1.40000000E+03,  1.45953596E+06,  7.97071404E+02,  1.03351500E+05,  3.93053188E+02,  6.92162028E+02,  2.99108840E+02,  1.95114055E-02,  1.95114055E+00,  1.00000000E+02,  1.01951141E+02,  3.93053188E+01,  7.05667082E+01,  3.04845439E+01,  2.98748530E+01,  9.75570274E+01,  3.06229636E-01,  1.17558837E+04,  7.97071404E+02,  5.95641150E+01,  2.98748530E+02,1,ok
baseline,mild,  2.88150000E+02,  1.00311750E+05,  6.84045812E+02,  1.50467625E+06,  1.40000000E+03,  1.45652661E+06,  8.02819665E+02,  1.03351500E+05,  3.97677343E+02,  6.85563025E+02,  2.87885682E+02,  1.94138346E-02,  1.93167655E+00,  9.95000000E+01,  1.01431677E+02,  3.95688956E+01,  6.95378070E+01,  2.92241839E+01,  2.86397002E+01,  9.65838273E+01,  2.96526872E-01,  1.21405523E+04,  8.02819665E+02,  5.99299704E+01,  2.87836183E+02,1,ok
baseline,severe,  2.88150000E+02,  1.00311750E+05,  6.91157712E+02,  1.50467625E+06,  1.40000000E+03,  1.45201258E+06,  8.10079420E+02,  1.03351500E+05,  4.04821247E+02,  6.77228826E+02,  2.72407578E+02,  1.92630965E-02,  1.89741500E+00,  9.85000000E+01,  1.00397415E+02,  3.98748928E+01,  6.79920234E+01,  2.74184199E+01,  2.68700515E+01,  9.48707501E+01,  2.83227986E-01,  1.27106083E+04,  8.10079420E+02,  6.01556186E+01,  2.72792401E+02,1,ok
baseline,washed,  2.88150000E+02,  1.00311750E+05,  6.81730631E+02,  1.50467625E+06,  1.40000000E+03,  1.45652661E+06,  8.09590417E+02,  1.03351500E+05,  3.95351744E+02,  6.77790201E+02,  2.82438457E+02,  1.94629054E-02,  1.94239795E+00,  9.98000000E+01,  1.01742398E+02,  3.94561041E+01,  6.89600004E+01,  2.87707245E+01,  2.81953100E+01,  9.71198977E+01,  2.90314453E-01,  1.24003471E+04,  8.09590417E+02,  6.09043830E+01,  2.82518136E+02,1,ok
